network_size,exp,tries,time[us]
3000,41,6749,819112500
3000,42,269,32038457
3000,43,5489,713408248
3000,44,5628,950506333
3000,45,6874,797669840
3000,46,2198,253653216
3000,47,2890,330548664
3000,48,401,46012252
3000,49,2382,272489272
3000,50,4112,471515252
3000,51,585,65298768
3000,52,1172,135865175
3000,53,4450,507273182
3000,54,1355,161672748
3000,55,1667,197266170
3000,56,614,73105255
3000,57,3109,356795256
3000,58,3281,404104815
3000,59,980,144653840
3000,60,3463,499540428
3000,61,3466,402342615
3000,62,287,32930973
3000,63,1222,138888860
3000,64,3684,424946637
3000,65,2573,288877760
3000,66,2302,262137240
3000,67,4099,457603660
3000,68,726,82435392
3000,69,467,52206849
3000,70,36,4001408
3000,71,10403,1231956828
3000,72,7514,873175248
3000,73,2412,273474426
3000,74,1451,165966770
3000,75,4526,520121834
3000,76,3878,453469782
3000,77,615,71326550
3000,78,1555,193956388
3000,79,3461,429149835
3000,80,9399,1085073816
3000,81,2595,303333750
3000,82,5921,678010788
3000,83,4160,466507336
3000,84,124,13856700
3000,85,574,65636010
3000,86,3028,344116464
3000,87,6217,749237223
3000,88,3366,415560925
3000,89,2205,260484939
3000,90,3986,468213675
3000,91,21129,2443282770
3000,92,1442,169777422
3000,93,2722,320841100
3000,94,406,45325120
3000,95,2182,296778063
3000,96,2479,286806130
3000,97,2069,264041250
3000,98,5661,800336652
3000,99,5341,688805331
4000,0,1830,227771237
4000,1,3680,440463837
4000,2,4896,585066656
4000,3,734,85773053
4000,4,3240,400593222
4000,5,468,63897900
4000,6,636,75776367
4000,7,2364,288346536
4000,8,3597,436817550
4000,9,4118,501849257
4000,10,3883,452760275
4000,11,8046,924680610
4000,12,8010,914610600
4000,13,3026,338001000
4000,14,429,48264260
4000,15,960,107945946
4000,16,11198,1265015718
4000,17,14808,1741510991
4000,18,433,53314234
4000,19,2957,385756707
4000,20,466,53899595
4000,21,1643,197393304
4000,22,520,63911936
4000,23,583,75245184
4000,24,11955,1429399526
4000,25,5316,608121696
4000,26,11696,1352502836
4000,27,8771,999337390
4000,28,7794,937001604
4000,29,1579,181744056
4000,30,5111,601468692
4000,31,1800,205688772
4000,32,1424,179790886
4000,33,1956,227483014
4000,34,541,64757754
4000,35,12753,1483879531
4000,36,3121,353227120
4000,37,3137,358050379
4000,38,4427,510245604
4000,39,2673,300432083
4000,40,3256,380472008
4000,41,6863,794896920
4000,42,8741,1096843297
4000,43,4091,479001690
