network_size,exp,tries,time[us]
3000,64,3684,76443
3000,65,2573,52144
3000,66,2302,46978
3000,67,4099,83110
3000,68,726,14544
3000,69,467,9341
3000,70,36,727
3000,71,10403,216932
3000,72,7514,155952
3000,73,2412,48826
3000,74,1451,29479
3000,75,4526,91603
3000,76,3878,80317
3000,77,615,12794
3000,78,1555,34598
3000,79,3461,76023
3000,80,9399,194388
3000,81,2595,53926
3000,82,5921,120471
3000,83,4160,84116
3000,84,124,2508
3000,85,574,11910
3000,86,3028,61736
3000,87,6217,131653
3000,88,3366,73825
3000,89,2205,46707
3000,90,3986,83535
3000,91,21129,443427
3000,92,1442,30574
3000,93,2722,57140
3000,94,406,8152
3000,95,2182,52167
3000,96,2479,51307
3000,97,2069,47575
3000,98,5661,141954
3000,99,5341,121461
4000,0,1830,40009
4000,1,3680,77451
4000,2,4896,102896
4000,3,734,15077
4000,4,3240,70614
4000,5,468,11390
4000,6,636,13457
4000,7,2364,51417
4000,8,3597,79062
4000,9,4118,90407
4000,10,3883,81505
4000,11,8046,163083
4000,12,8010,162165
4000,13,3026,61000
4000,14,429,8690
4000,15,960,19314
4000,16,11198,227439
4000,17,14808,306119
4000,18,433,9517
4000,19,2957,70023
4000,20,466,9745
4000,21,1643,35274
4000,22,520,11348
4000,23,583,13671
4000,24,11955,251522
4000,25,5316,109928
4000,26,11696,241691
4000,27,8771,181105
4000,28,7794,170302
4000,29,1579,32877
4000,30,5111,105967
4000,31,1800,37222
4000,32,1424,32054
4000,33,1956,41338
4000,34,541,11397
4000,35,12753,261661
4000,36,3121,63416
4000,37,3137,63563
4000,38,4427,90277
4000,39,2673,54259
4000,40,3256,67772
4000,41,6863,143070
4000,42,8741,197879
4000,43,4091,85935
4000,44,5709,119782
4000,45,2049,43243
4000,46,2104,44193
4000,47,2451,70573
4000,48,5574,113764
4000,49,587,18651
4000,50,1361,30451
4000,51,5524,115517
4000,52,607,12495
4000,53,1396,28046
4000,54,8389,169484
4000,55,4311,87977
4000,56,2799,56732
4000,57,1633,32821
4000,58,619,12366
4000,59,220,4392
4000,60,1794,36490
4000,61,4695,95565
4000,62,8150,164753
4000,63,1125,22728
4000,64,16786,339915
4000,65,3370,68828
4000,66,4061,82188
4000,67,2535,51376
4000,68,1939,39123
4000,69,11454,231206
